Sample,NumeroCapteur,Heure,Puissance,Adresse
1,1,16:05:51.809166,-43,22:a6:6b:a5:a8:f2
2,2,16:05:53.597007,-63,00:f6:20:e2:2d:a2
3,2,16:05:54.316525,-71,7a:f9:6c:f0:e1:b1
4,1,16:05:58.173274,-37,22:a6:6b:a5:a8:f2
5,2,16:05:59.330671,-71,2e:0f:6f:cf:42:19
6,1,16:05:59.202362,-63,2e:0f:6f:cf:42:19
7,2,16:05:59.726935,-69,28:ee:52:1d:f0:0e
8,1,16:06:02.909752,-59,4c:1d:96:99:55:c0
9,1,16:06:05.665407,-59,28:ee:52:1d:f0:0e
10,2,16:06:07.693589,-39,bc:d0:74:50:04:a6
11,1,16:06:07.565165,-41,bc:d0:74:50:04:a6
12,1,16:06:09.110318,-41,22:a6:6b:a5:a8:f2
13,1,16:06:12.689518,-27,da:a1:19:6a:3a:1b
14,2,16:06:17.270706,-27,c6:fd:b8:56:3d:58
15,1,16:06:17.796853,-61,28:ee:52:1d:f0:0e
16,2,16:06:22.990406,-49,22:a6:6b:a5:a8:f2
17,1,16:06:23.373339,-35,22:a6:6b:a5:a8:f2
18,2,16:06:25.675454,-67,86:a6:76:18:d5:91
19,2,16:06:25.675454,-67,00:b5:d0:ed:54:3B
20,1,16:06:25.675454,-56,00:b5:d0:ed:54:3B
