NumeroCapteur,Heure,Puissance,Adresse
1,17:24:13.424770,-55,86:52:79:32:ad:1c
2,17:24:13.476066,-55,86:52:79:32:ad:1c
1,17:24:15.594834,-75,5c:61:99:58:4b:9b
2,17:24:17.118050,-75,ba:23:55:5e:dc:1b
2,17:24:19.782105,-71,d6:42:cf:08:f8:01
2,17:24:20.543947,-57,de:6d:e7:05:3f:d2
1,17:24:21.683050,-71,02:ce:13:21:2a:55
1,17:24:23.150773,-73,fa:4a:9a:e9:69:41
1,17:24:25.841888,-51,00:b5:d0:ed:54:3b
2,17:24:25.891575,-45,00:b5:d0:ed:54:3b
2,17:24:29.581120,-81,a6:9e:b9:c3:a9:b5
1,17:24:31.220407,-73,54:35:30:51:9b:58
2,17:24:31.781012,-41,00:b5:d0:ed:54:3b
1,17:24:31.732139,-43,00:b5:d0:ed:54:3b
1,17:24:33.620679,-75,a6:9e:b9:c3:a9:b5
2,17:24:35.970252,-77,f0:65:ae:6f:d0:24
2,17:24:37.273040,-77,62:d9:fd:7a:37:68
1,17:24:37.642619,-73,b4:8c:9d:6b:0e:1b
2,17:24:38.567946,-43,ec:63:d7:d0:34:e6
1,17:24:40.347856,-61,00:0c:e7:ed:67:ac
2,17:24:40.347505,-67,00:0c:e7:ed:67:ac
2,17:24:43.805634,-75,5e:92:b6:23:9f:1e
1,17:24:44.869654,-73,54:35:30:51:9b:58
2,17:24:45.277475,-51,5c:3a:45:c2:e2:63
1,17:24:46.363202,-61,c6:6b:a1:98:21:19
2,17:24:46.390899,-69,c6:6b:a1:98:21:19
1,17:24:50.895224,-45,9a:ed:c5:49:c2:35
2,17:24:50.946349,-45,9a:ed:c5:49:c2:35
1,17:24:51.517941,-75,54:35:30:51:9b:58
1,17:24:57.592591,-73,82:6c:69:8b:66:3a
2,17:25:01.935272,-67,64:79:f0:62:f3:40
1,17:25:05.049068,-73,54:35:30:51:9b:58
1,17:25:08.842526,-73,9a:12:2d:0b:95:4e
1,17:25:11.813453,-71,54:35:30:51:9b:58
2,17:25:14.721087,-77,ca:eb:4d:aa:55:d5
2,17:25:16.191230,-69,52:9d:4a:b3:d8:0b
1,17:25:18.578522,-73,54:35:30:51:9b:58
1,17:25:20.735544,-67,82:6c:69:8b:66:3a
2,17:25:22.039896,-71,1e:92:ef:42:88:a9
1,17:25:21.984659,-63,1e:92:ef:42:88:a9
2,17:25:25.277226,-77,82:6c:69:8b:66:3a
1,17:25:25.341934,-73,54:35:30:51:9b:58
2,17:25:31.973612,-73,4a:8c:0d:22:7c:a6
2,17:25:36.372982,-73,c6:6b:a1:98:21:19
2,17:25:37.674338,-75,b4:8c:9d:6b:0e:1b
1,17:25:38.875362,-73,54:35:30:51:9b:58
2,17:25:42.464110,-59,7a:0d:90:ed:e5:1b
1,17:25:42.416026,-55,7a:0d:90:ed:e5:1b
2,17:25:44.774271,-67,5c:3a:45:c2:e2:63
2,17:25:47.288320,-65,42:84:03:ed:51:cd
1,17:25:52.395583,-71,54:35:30:51:9b:58
2,17:25:53.787034,-73,d6:42:cf:08:f8:01
1,17:25:53.743644,-65,d6:42:cf:08:f8:01
1,17:25:59.163274,-73,54:35:30:51:9b:58
1,17:26:00.570881,-73,1e:92:b2:11:bd:23
1,17:26:01.883689,-61,64:79:f0:62:f3:40
2,17:26:01.924158,-75,64:79:f0:62:f3:40
2,17:26:04.468545,-67,18:87:40:48:a5:f8
1,17:26:05.810498,-59,16:65:e4:f2:19:b6
1,17:26:07.333764,-63,4e:44:e1:9e:b6:fb
1,17:26:08.612462,-59,0a:0d:b9:d6:f2:eb
1,17:26:12.695659,-71,54:35:30:51:9b:58
2,17:26:13.243986,-77,82:6c:69:8b:66:3a
2,17:26:14.325964,-79,8e:81:33:f0:bd:b1
1,17:26:15.511036,-75,dc:f5:05:99:22:dd
1,17:26:16.319008,-61,52:9d:4a:b3:d8:0b
2,17:26:16.354980,-75,52:9d:4a:b3:d8:0b
1,17:26:18.697878,-73,2a:42:52:ec:47:d2
2,17:26:18.696003,-69,2a:42:52:ec:47:d2
1,17:26:19.468197,-73,54:35:30:51:9b:58
2,17:26:23.611516,-63,fe:cf:51:b4:46:47
1,17:26:26.237047,-75,54:35:30:51:9b:58
1,17:26:28.656446,-71,f2:74:72:3a:33:78
1,17:26:33.295278,-73,1a:a4:f0:83:f9:67
2,17:26:33.366629,-79,1a:a4:f0:83:f9:67
2,17:26:37.689379,-75,b4:8c:9d:6b:0e:1b
1,17:26:39.656064,-73,54:35:30:51:9b:58
2,17:26:40.832550,-79,be:61:96:be:d8:52
1,17:26:45.211601,-51,5c:3a:45:c2:e2:63
1,17:26:46.535057,-73,54:35:30:51:9b:58
1,17:26:53.301582,-73,54:35:30:51:9b:58
2,17:26:58.949389,-81,84:c5:a6:ec:ec:49
1,17:27:01.963339,-61,64:79:f0:62:f3:40
2,17:27:01.983900,-65,64:79:f0:62:f3:40
1,17:27:06.827062,-75,54:35:30:51:9b:58
1,17:27:13.595753,-71,54:35:30:51:9b:58
1,17:27:15.549958,-73,5c:61:99:58:4b:9b
2,17:27:15.562442,-75,5c:61:99:58:4b:9b
1,17:27:17.081476,-71,2e:ab:2a:90:e4:10
1,17:27:18.074430,-61,7c:2a:31:d1:ca:4f
1,17:27:20.364346,-77,54:35:30:51:9b:58
2,17:27:27.100917,-63,a6:5b:c6:d9:30:27
1,17:27:27.988497,-65,d6:42:cf:08:f8:01
1,17:27:29.681971,-75,0e:2f:f3:4b:ab:a9
2,17:27:32.234956,-59,80:86:f2:26:7b:db
1,17:27:31.952616,-65,02:4b:6b:1a:27:ef
1,17:27:33.795740,-67,54:35:30:51:9b:58
1,17:27:37.663446,-71,b4:8c:9d:6b:0e:1b
2,17:27:37.667331,-75,b4:8c:9d:6b:0e:1b
1,17:27:38.583942,-59,c6:6b:a1:98:21:19
2,17:27:38.587487,-61,c6:6b:a1:98:21:19
1,17:27:39.817574,-77,28:cd:c4:0d:04:21
2,17:27:40.967179,-79,9e:a7:73:c7:cd:84
1,17:27:41.510143,-71,2e:ab:2a:90:e4:10
2,17:27:45.179631,-59,5c:3a:45:c2:e2:63
1,17:27:47.445501,-71,54:35:30:51:9b:58
2,17:27:51.754851,-75,da:a1:19:05:8e:15
1,17:27:51.756314,-71,da:a1:19:05:8e:15
1,17:27:54.213421,-75,54:35:30:51:9b:58
2,17:27:54.853252,-79,da:54:ce:90:f8:c7
2,17:27:57.823337,-79,a6:9e:b9:c3:a9:b5
2,17:27:58.949845,-77,c2:4f:e8:fa:6f:0c
1,17:28:00.185651,-61,00:0c:e7:ef:e1:e9
2,17:28:08.714372,-75,a6:11:ab:e9:f0:2a
